id,tweet,[]
681448150,@VirginAmerica What @dhepburn said.,['@VirginAmerica']
681448158,"@VirginAmerica it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse",['@VirginAmerica']
681448159,@VirginAmerica and it's a really big bad thing about it,['@VirginAmerica']
681448162,"@VirginAmerica seriously would pay $30 a flight for seats that didn't have this playing.
it's really the only bad thing about flying VA",['@VirginAmerica']
681448171,"@VirginAmerica it was amazing, and arrived an hour early. You're too good to me.",['@VirginAmerica']
681448176,@VirginAmerica I &lt;3 pretty graphics. so much better than minimal iconography. :D,['@VirginAmerica']
681448178,@VirginAmerica This is such a great deal! Already thinking about my 2nd trip to @Australia &amp; I haven't even gone on my 1st trip yet! ;p,['@VirginAmerica']
681448182,@VirginAmerica Thanks!,['@VirginAmerica']
681448186,@VirginAmerica So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America. #29DaysToGo,['@VirginAmerica']
681449536,@United now what?!? http://t.co/5hpSqVRjK8 flight was gone when I got off plane! #BusinessTravel #goodenoughmother,['@United']
681449583,@United never heard of this? http://t.co/QDebyaHqfM,['@United']
681449629,"@United will not have to honor absurdly low mistake fares.
http://t.co/2Z3Jv73IlW v_a @usatoday",['@United']
681449657,@United gate announcement states delay due to maintenance yet app says Late Flight arriving aircraft  tell the truth! @unfriendly,['@United']
681455259,@SouthwestAir why are the ticketing lines in Las Vegas so unorganized??  Mass craziness. Half of the ticketing stations unmanned.,['@SouthwestAir']
681455261,@SouthwestAir fl 4158 Cancelled Flightled from Dallas to Austin. No one answering 800#.  Need help.,['@SouthwestAir']
681455262,@SouthwestAir been on hold for 30 min trying to rebook my flight you Cancelled Flightled. Help?!,['@SouthwestAir']
681455263,@southwestair y'all just Cancelled Flightled the flight i rebooked after 1st was Cancelled Flightled. help? I need to be in nyc. schedule more flights tomorrow!,['@southwestair']
681455265,@SouthwestAir my wife is trying to get a group of clients to their destination and just got disconnected after2 hours holding. Help.,['@SouthwestAir']
681455266,@SouthwestAir could u put one here in Baltimore? http://t.co/vLCI2KV1IP,['@SouthwestAir']
681460721,@USAirways is charging me $200 to NOT take my flight. Lol. That is the last time I fly with them.,['@USAirways']
681460722,@USAirways yes. It says bag is being delivered. The local number says Not Open. Asked main # for cust service got hung up on.,['@USAirways']
681460724,@USAirways seriously buy some WD40 for A319 operating flight 634 from GEG to Phoenix. Every seat squeaks w every shift. Still on ground!,['@USAirways']
681460726,@USAirways why let passengers on board when there was an issue? Over an hour &amp; the pilot doesn't know when we'll leave.,['@USAirways']
681460727,@USAirways anyone there to help? Still on hold...,['@USAirways']
681460728,@USAirways oh yay! Now gate agents decide not to deal with upgrade list and just bump up whoever is closest.,['@USAirways']
